path,kind,metric_key,metric_type,metric_value
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000042,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000043,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000044,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000045,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000046,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000048,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000052,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000053,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000056,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000058,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000059,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000063,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000066,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000067,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000068,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000073,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000079,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000082,int,1
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,dataset_counts.ISIC_0000085,int,1
