group,experiment,split,metric,value,resolution_or_scope,source,notes
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cond/propagation_quality_test_lora_p491_e20,,bridge_3.dice,0.7432256149519166,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cond/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cond/propagation_quality_test_lora_p491_e20,,bridge_4.dice,0.7783595644624236,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cond/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cond/propagation_quality_test_lora_p491_e20,,bridge_5.dice,0.7995428558598539,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cond/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cond/propagation_quality_test_lora_p491_e20,,bridge_6.dice,0.8144711030045806,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_cond/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_pooled/propagation_quality_test_lora_p491_e20,,bridge_3.dice,0.7527888663230021,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_pooled/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_pooled/propagation_quality_test_lora_p491_e20,,bridge_4.dice,0.7919440270287985,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_pooled/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_pooled/propagation_quality_test_lora_p491_e20,,bridge_5.dice,0.800997787173422,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_pooled/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_pooled/propagation_quality_test_lora_p491_e20,,bridge_6.dice,0.7963826111213884,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling__knn_pooled/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/dino_global_pooling/propagation_quality_test_lora_p491_e20,,bridge_3.dice,0.8145901201538526,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/dino_global_pooling/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/dino_global_pooling/propagation_quality_test_lora_p491_e20,,bridge_4.dice,0.8128892715658872,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/dino_global_pooling/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/dino_global_pooling/propagation_quality_test_lora_p491_e20,,bridge_5.dice,0.8360434377597059,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/dino_global_pooling/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/dino_global_pooling/propagation_quality_test_lora_p491_e20,,bridge_6.dice,0.8728901093805017,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/dino_global_pooling/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/dino_patch_average/propagation_quality_test_lora_p491_e20,,bridge_3.dice,0.8203177112684907,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/dino_patch_average/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/dino_patch_average/propagation_quality_test_lora_p491_e20,,bridge_4.dice,0.8585837334975729,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/dino_patch_average/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/dino_patch_average/propagation_quality_test_lora_p491_e20,,bridge_5.dice,0.8535299136672043,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/dino_patch_average/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/dino_patch_average/propagation_quality_test_lora_p491_e20,,bridge_6.dice,0.870285176584741,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/dino_patch_average/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/t18_corrected/propagation_quality_test_lora_p491_e20,,bridge_3.dice,0.8481078689794614,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/t18_corrected/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/t18_corrected/propagation_quality_test_lora_p491_e20,,bridge_4.dice,0.846685875802997,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/t18_corrected/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/t18_corrected/propagation_quality_test_lora_p491_e20,,bridge_5.dice,0.852841736856199,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/t18_corrected/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/t18_corrected/propagation_quality_test_lora_p491_e20,,bridge_6.dice,0.8497511013152524,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/t18_corrected/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward,,bridge_1.dice,0.8808326156241015,varies; see source path,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward,,bridge_2.dice,0.8824416920345937,varies; see source path,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward/route_family_summary.json,
