setting,target_id,b0,best_b1_b6,best_bridge,delta_best_vs_b0,b6,delta_b6_vs_b0,b1,b2,b3,b4,b5
base,ISIC_0001140,0.9746959540022787,0.9788454454559806,5,0.0041494914537019145,0.975107250675282,0.0004112966730033252,0.9739278041535157,0.9721594384024251,0.9759581052130445,0.977225345050537,0.9788454454559806
base,ISIC_0001212,0.885474006116208,0.9126242178873758,4,0.02715021177116783,0.8710526315789474,-0.014421374537260556,0.8786748246530368,0.8935858992174358,0.9015046885222069,0.9126242178873758,0.8817640692640693
base,ISIC_0001267,0.9217077260415323,0.9178152118427769,1,-0.003892514198755359,0.8992248062015504,-0.022482919839981852,0.9178152118427769,0.9032664900996342,0.8993742177722153,0.9052631578947369,0.8897394740091369
base,ISIC_0001372,0.9012189995796553,0.9045956139125576,1,0.0033766143329022613,0.8951817413355875,-0.006037258244067867,0.9045956139125576,0.8433628318584071,0.8954929577464789,0.894870349492672,0.8970464135021097
base,ISIC_0001852,0.9301442672741078,0.9297379415115837,2,-0.0004063257625240846,0.9277016742770168,-0.002442592997091042,0.8901142181961402,0.9297379415115837,0.9293313069908815,0.9285171102661597,0.9293313069908815
base,ISIC_0002107,0.886226034308779,0.8999751799453959,4,0.013749145636616888,0.8970661362506216,0.010840101941842595,0.8846518088263148,0.8836680560818492,0.8949566735240945,0.8999751799453959,0.8958605664488017
base,ISIC_0002976,0.8846153846153846,0.9208186892702088,6,0.03620330465482424,0.9208186892702088,0.03620330465482424,0.8779019776440241,0.9100020881186052,0.9113660062565172,0.9122733902896437,0.9190308552495341
base,ISIC_0003582,0.912224524392541,0.9429040496169281,1,0.030679525224387105,0.9121484761411277,-7.604825141327431e-05,0.9429040496169281,0.9120459791774627,0.909991976211828,0.9121997173810645,0.9122509537939805
base,ISIC_0004115,0.16167363490616454,0.1798566182899108,5,0.01818298338374627,0.17965243210199983,0.017978797195835283,0.16068862088358432,0.15799093771599723,0.15999626685747173,0.17699998279214635,0.1798566182899108
base,ISIC_0004346,0.9455177743431221,0.9327390599675851,3,-0.012778714375537015,0.9205761316872428,-0.02494164265587928,0.9233278955954323,0.9242702592365789,0.9327390599675851,0.9304878048780488,0.9323857868020304
base,ISIC_0006350,0.22401076947312645,0.2372552291101033,6,0.013244459636976846,0.2372552291101033,0.013244459636976846,0.23180545058462632,0.23283368809633676,0.23583156180740875,0.23618765760188443,0.23689949718301326
base,ISIC_0007038,0.8209959623149394,0.7589539511085844,5,-0.062042011206355,0.7582480091012515,-0.06274795321368798,0.7525714285714286,0.7500715717148583,0.7497136311569301,0.7454022988505747,0.7589539511085844
base,ISIC_0007141,0.7169849862118272,0.7029927760577915,1,-0.013992210154035623,0.694904657705533,-0.022080328506294156,0.7029927760577915,0.6916053633849846,0.6930455635491607,0.6908293294338834,0.6945876959941658
